cohort,band,score,q,r,burden,sensitivity,ci_lo,ci_hi,n_boot
bcn20000,ALL,d,0.05,599,0.0499916541478885,0.09198813056379822,,,0
bcn20000,ALL,d,0.1,1198,0.099983308295777,0.18116507886928002,,,0
bcn20000,ALL,d,0.15,1797,0.1499749624436655,0.26721849133218806,,,0
bcn20000,ALL,d,0.2,2396,0.199966616591554,0.3487427768233641,,,0
bcn20000,ALL,d,0.3,3595,0.300033383408446,0.49820396689052004,,,0
bcn20000,ALL,msp,0.05,599,0.0499916541478885,0.07777604248008746,,,0
bcn20000,ALL,msp,0.1,1198,0.099983308295777,0.15196001874121506,,,0
bcn20000,ALL,msp,0.15,1797,0.1499749624436655,0.22255192878338279,,,0
bcn20000,ALL,msp,0.2,2396,0.199966616591554,0.2903326565672341,,,0
bcn20000,ALL,msp,0.3,3595,0.300033383408446,0.42464469779790726,,,0
bcn20000,ALL,entropy,0.05,599,0.0499916541478885,0.08183663907543338,,,0
bcn20000,ALL,entropy,0.1,1198,0.099983308295777,0.15602061533656097,,,0
bcn20000,ALL,entropy,0.15,1797,0.1499749624436655,0.22973606122130252,,,0
bcn20000,ALL,entropy,0.2,2396,0.199966616591554,0.3025144463532719,,,0
bcn20000,ALL,entropy,0.3,3595,0.300033383408446,0.43791972512884586,,,0
bcn20000,ALL,margin,0.05,599,0.0499916541478885,0.07090426362642512,,,0
bcn20000,ALL,margin,0.1,1198,0.099983308295777,0.14165235046072153,,,0
bcn20000,ALL,margin,0.15,1797,0.1499749624436655,0.21161955333437452,,,0
bcn20000,ALL,margin,0.2,2396,0.199966616591554,0.2831485241293144,,,0
bcn20000,ALL,margin,0.3,3595,0.300033383408446,0.4174605653599875,,,0
bcn20000,ALL,disagreement,0.05,599,0.0499916541478885,0.07012337966578167,,,0
bcn20000,ALL,disagreement,0.1,1198,0.099983308295777,0.13806028424176167,,,0
bcn20000,ALL,disagreement,0.15,1797,0.1499749624436655,0.20506012806496954,,,0
bcn20000,ALL,disagreement,0.2,2396,0.199966616591554,0.27112291113540526,,,0
bcn20000,ALL,disagreement,0.3,3595,0.300033383408446,0.3991878806809308,,,0
bcn20000,<40,s,0.05,98,0.04989816700610998,0.23035230352303523,0.18024160996424865,0.27037126094065594,500
bcn20000,<40,s,0.1,196,0.09979633401221996,0.35501355013550134,0.2937060751520591,0.4225604363207547,500
bcn20000,<40,s,0.15,295,0.15020366598778004,0.47696476964769646,0.40453280820927884,0.5490306367962359,500
bcn20000,<40,s,0.2,393,0.20010183299389003,0.5691056910569106,0.4810546944911766,0.631790465631929,500
bcn20000,<40,s,0.3,589,0.29989816700611,0.6747967479674797,0.5915337600335764,0.7402543252595156,500
bcn20000,<40,d,0.05,98,0.04989816700610998,0.21951219512195122,0.17896471175882941,0.26773044105275806,500
bcn20000,<40,d,0.1,196,0.09979633401221996,0.37398373983739835,0.30171604278074865,0.43140625,500
bcn20000,<40,d,0.15,295,0.15020366598778004,0.4742547425474255,0.3930641038576666,0.5422944596995639,500
bcn20000,<40,d,0.2,393,0.20010183299389003,0.5582655826558266,0.4747869671072245,0.6323367307862255,500
bcn20000,<40,d,0.3,589,0.29989816700611,0.6720867208672087,0.5770828661134784,0.7489287830975988,500
bcn20000,<40,msp,0.05,98,0.04989816700610998,0.15447154471544716,,,0
bcn20000,<40,msp,0.1,196,0.09979633401221996,0.25474254742547425,,,0
bcn20000,<40,msp,0.15,295,0.15020366598778004,0.35772357723577236,,,0
bcn20000,<40,msp,0.2,393,0.20010183299389003,0.44173441734417346,,,0
bcn20000,<40,msp,0.3,589,0.29989816700611,0.5989159891598916,,,0
bcn20000,<40,entropy,0.05,98,0.04989816700610998,0.16531165311653118,,,0
bcn20000,<40,entropy,0.1,196,0.09979633401221996,0.2926829268292683,,,0
bcn20000,<40,entropy,0.15,295,0.15020366598778004,0.37398373983739835,,,0
bcn20000,<40,entropy,0.2,393,0.20010183299389003,0.46070460704607047,,,0
bcn20000,<40,entropy,0.3,589,0.29989816700611,0.6070460704607046,,,0
bcn20000,<40,margin,0.05,98,0.04989816700610998,0.13550135501355012,,,0
bcn20000,<40,margin,0.1,196,0.09979633401221996,0.24390243902439024,,,0
bcn20000,<40,margin,0.15,295,0.15020366598778004,0.33604336043360433,,,0
bcn20000,<40,margin,0.2,393,0.20010183299389003,0.4444444444444444,,,0
bcn20000,<40,margin,0.3,589,0.29989816700611,0.6043360433604336,,,0
bcn20000,<40,disagreement,0.05,98,0.04989816700610998,0.11382113821138211,,,0
bcn20000,<40,disagreement,0.1,196,0.09979633401221996,0.1951219512195122,,,0
bcn20000,<40,disagreement,0.15,295,0.15020366598778004,0.2682926829268293,,,0
bcn20000,<40,disagreement,0.2,393,0.20010183299389003,0.36585365853658536,,,0
bcn20000,<40,disagreement,0.3,589,0.29989816700611,0.5609756097560976,,,0
bcn20000,40-59,s,0.05,207,0.0500241662638956,0.1113573407202216,0.10129183463307215,0.1222385333313612,500
bcn20000,40-59,s,0.1,414,0.1000483325277912,0.21939058171745152,0.2007683798350199,0.23704806848399898,500
bcn20000,40-59,s,0.15,621,0.1500724987916868,0.32022160664819943,0.2968567724687493,0.3447307847140351,500
bcn20000,40-59,s,0.2,828,0.2000966650555824,0.4149584487534626,0.38568079255751375,0.4447894673023291,500
bcn20000,40-59,s,0.3,1241,0.29990333494441757,0.5778393351800554,0.5415073932092004,0.6104363275323004,500
bcn20000,40-59,d,0.05,207,0.0500241662638956,0.11080332409972299,0.10050080456692825,0.12165215809297888,500
bcn20000,40-59,d,0.1,414,0.1000483325277912,0.21828254847645429,0.19998778053027325,0.23622395574517627,500
bcn20000,40-59,d,0.15,621,0.1500724987916868,0.32132963988919666,0.29625837957049755,0.3452361744322652,500
bcn20000,40-59,d,0.2,828,0.2000966650555824,0.41329639889196673,0.3836753915388761,0.4428641732283464,500
bcn20000,40-59,d,0.3,1241,0.29990333494441757,0.5695290858725762,0.5373973555432666,0.6027107227041077,500
bcn20000,40-59,msp,0.05,207,0.0500241662638956,0.0925207756232687,,,0
bcn20000,40-59,msp,0.1,414,0.1000483325277912,0.17285318559556787,,,0
bcn20000,40-59,msp,0.15,621,0.1500724987916868,0.253185595567867,,,0
bcn20000,40-59,msp,0.2,828,0.2000966650555824,0.3290858725761773,,,0
bcn20000,40-59,msp,0.3,1241,0.29990333494441757,0.4825484764542936,,,0
bcn20000,40-59,entropy,0.05,207,0.0500241662638956,0.09473684210526316,,,0
bcn20000,40-59,entropy,0.1,414,0.1000483325277912,0.1778393351800554,,,0
bcn20000,40-59,entropy,0.15,621,0.1500724987916868,0.2670360110803324,,,0
bcn20000,40-59,entropy,0.2,828,0.2000966650555824,0.34182825484764545,,,0
