arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,score,role
global,0.1,,reserved,ALL,4733,2340,779,0.23579125290513417,1116,0.6021367521367521,0.3978632478632479,931,0.3826259946949602,0.44352517657412927,492,1423,23.46700142982682,8.337707537687548,5.311848759259693,0.5676593043397807,0.6352155138820333,boot,msp,primary
global,0.1,,reserved,<40,978,279,104,0.12678936605316973,124,0.4946236559139785,0.5053763440860215,141,0.29850746268656714,0.4547349385727385,43,184,15.603377495801455,5.769453256204516,3.802668408285127,0.3667908575675927,0.6147092600291,boot,msp,primary
global,0.1,,reserved,40-59,1525,598,174,0.1855737704918033,283,0.5652173913043478,0.4347826086956522,260,0.3627450980392157,0.40831564523448877,117,377,20.083644510828975,7.232705446297678,4.66251763339142,0.4836299025542693,0.6447623207448988,boot,msp,primary
global,0.1,,reserved,60+,2111,1428,479,0.3240170535291331,684,0.6365546218487395,0.36344537815126055,519,0.41156462585034015,0.42533498564448247,319,838,39.254990359943754,13.49405409062136,8.341866836756882,0.5980896512998012,0.6763408662662973,boot,msp,primary
global,0.1,,reserved,unknown,119,35,25,0.21008403361344538,25,0.6857142857142857,0.3142857142857143,11,0.35294117647058826,0.35758651286601595,13,24,13.03125,4.929398148148148,3.3090277777777772,0.5071199996848251,0.8314828492529975,CP,msp,primary
band,0.15,0.81,reserved,ALL,4733,2340,779,0.30171138812592435,1428,0.6333333333333333,0.3666666666666667,858,0.38317757009345793,0.4525291685793095,565,1423,34.83684870345525,12.051092000791783,7.493940660259089,0.5981998371095417,0.6661231905428854,boot,msp,primary
band,0.15,0.81,reserved,<40,978,279,104,0.40286298568507156,394,0.7311827956989247,0.26881720430107525,75,0.18478260869565216,0.48288489501541326,109,184,41.096124715980814,14.09536733148195,8.695215854582175,0.6132717993951613,0.8265012847257556,boot,msp,primary
band,0.15,0.81,reserved,40-59,1525,598,174,0.28065573770491803,428,0.6555183946488294,0.34448160535117056,206,0.3542319749216301,0.42795146561424274,171,377,25.92654051912027,9.140991347995508,5.783881513770557,0.580023182199882,0.728725658131987,boot,msp,primary
band,0.15,0.81,reserved,60+,2111,1428,479,0.27711984841307435,585,0.6043417366946778,0.39565826330532217,565,0.4114583333333333,0.41977254201034253,273,838,37.456543536201984,12.906682569062601,7.996710375634725,0.5658738670451247,0.6449867926353074,boot,msp,primary
band,0.15,0.81,reserved,unknown,119,35,25,0.17647058823529413,21,0.6571428571428571,0.34285714285714286,12,0.4,0.2951322751322752,12,24,11.76086956521739,4.514492753623188,3.0652173913043477,0.47789001660647873,0.8086758978117342,CP,msp,primary
global,0.15,,reserved,ALL,4733,2340,779,0.3253750264103106,1540,0.67008547008547,0.32991452991452996,772,0.3703099510603589,0.4638415913835501,651,1423,28.844462377512645,10.093982662015913,6.3438867189165675,0.6379360442456913,0.7025359219979472,boot,msp,primary
global,0.15,,reserved,<40,978,279,104,0.18098159509202455,177,0.5376344086021505,0.4623655913978495,129,0.287292817679558,0.45368046737154544,55,184,22.33811158798283,7.969012875536481,5.09519313304721,0.40976558243434674,0.6535258547752949,boot,msp,primary
global,0.15,,reserved,40-59,1525,598,174,0.26491803278688525,404,0.6387959866220736,0.3612040133779264,216,0.3493975903614458,0.4267837830948831,161,377,24.90723326386418,8.808086284831061,5.588256889024439,0.5613615427504788,0.7130360726964754,boot,msp,primary
global,0.15,,reserved,60+,2111,1428,479,0.4391283751776409,927,0.707983193277311,0.29201680672268904,417,0.40257879656160456,0.4520943049954828,421,838,45.01796924894969,15.376239114976835,9.447893088182266,0.672084578683429,0.7440288981257897,boot,msp,primary
global,0.15,,reserved,unknown,119,35,25,0.2689075630252101,32,0.7142857142857143,0.2857142857142857,10,0.3333333333333333,0.35555555555555557,14,24,20.8,7.466666666666665,4.8,0.5369553554455799,0.8536452547209408,CP,msp,primary
band,0.2,0.855,reserved,ALL,4733,2340,779,0.3858018170293683,1826,0.6927350427350427,0.3072649572649573,719,0.3676341248900616,0.4645527240724504,704,1423,39.69905360921854,13.639084848802014,8.427091096718708,0.6599499128001542,0.7239400913926471,boot,msp,primary
band,0.2,0.855,reserved,<40,978,279,104,0.4539877300613497,444,0.7634408602150538,0.23655913978494625,66,0.15384615384615385,0.459281340994896,118,184,46.080517439400346,15.723266638457355,9.651816478268755,0.6553672578698116,0.8525933935490912,boot,msp,primary
band,0.2,0.855,reserved,40-59,1525,598,174,0.35672131147540986,544,0.7040133779264214,0.2959866220735786,177,0.3192307692307692,0.4426555894672551,200,377,32.55279846874063,11.305122732214953,7.0555875849098175,0.6312993159839609,0.7709050480138532,boot,msp,primary
band,0.2,0.855,reserved,60+,2111,1428,479,0.3851255329227854,813,0.6743697478991597,0.3256302521008403,465,0.4053708439897698,0.4351461688009931,373,838,41.83852164037164,14.337833667057405,8.837696072394559,0.6383707489449287,0.7129931018050374,boot,msp,primary
