arm,key,view,budget,conformal,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate
CASC,CASC@0.1,LAM,0.1,False,0.835,reserved,unknown,119,35,25,0.1092436974789916,13,0.7714285714285715,0.22857142857142854,8,0.6923076923076923,0.20502164502164502,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395
CASC_CONF,CASC_CONF@0.1,LAM,0.1,True,0.835,reserved,ALL,4733,2340,779,0.5596873019226706,2649,0.8927350427350428,0.10726495726495722,251,0.7654205607476635,0.4940080515791892,733,984,76.62929775432053,25.700477717741048,15.514713710425152,0.8718852809211705,0.9119399841818604,boot,0.7861821255017959
CASC_CONF,CASC_CONF@0.1,LAM,0.1,True,0.835,reserved,<40,978,279,104,0.7044989775051125,689,0.8745519713261649,0.1254480286738351,35,0.2857142857142857,0.37867553789818825,130,165,75.33358544994017,25.277298951663973,15.266041652008724,0.803764715368489,0.9356014912341168,boot,0.7188139059304703
CASC_CONF,CASC_CONF@0.1,LAM,0.1,True,0.835,reserved,40-59,1525,598,174,0.4760655737704918,726,0.9013377926421404,0.09866220735785958,59,0.8396739130434783,0.4094624401352016,117,176,81.33366356251238,27.2369204227734,16.41757179482561,0.8533783990972538,0.9409548792988859,boot,0.7980327868852459
CASC_CONF,CASC_CONF@0.1,LAM,0.1,True,0.835,reserved,60+,2111,1428,479,0.561819043107532,1186,0.8928571428571429,0.1071428571428571,153,0.757527733755943,0.5151302974334311,482,635,73.24245973645681,24.594338701805757,14.86471449487555,0.8669463141694249,0.9159383840989727,boot,0.8147797252486974
CASC_CONF,CASC_CONF@0.1,LAM,0.1,True,0.835,reserved,unknown,119,35,25,0.40336134453781514,48,0.8857142857142857,0.11428571428571432,4,0.8181818181818182,0.20392156862745098,4,8,67.53225806451613,22.72939068100358,13.768817204301074,0.7586206896551724,0.9743589743589743,boot,0.680672268907563
S56,S56@0.15,ARG,0.15,False,0.81,reserved,ALL,4733,2340,779,0.30171138812592435,1428,0.6333333333333333,0.3666666666666667,858,0.38317757009345793,0.4525291685793095,565,1423,34.83684870345525,12.051092000791783,7.493940660259089,0.5981998371095417,0.6661231905428854,boot,0.4225649693640397
S56,S56@0.15,ARG,0.15,False,0.81,reserved,<40,978,279,104,0.40286298568507156,394,0.7311827956989247,0.26881720430107525,75,0.18478260869565216,0.48288489501541326,109,184,41.096124715980814,14.09536733148195,8.695215854582175,0.6132717993951613,0.8265012847257556,boot,0.42024539877300615
S56,S56@0.15,ARG,0.15,False,0.81,reserved,40-59,1525,598,174,0.28065573770491803,428,0.6555183946488294,0.34448160535117056,206,0.3542319749216301,0.42795146561424274,171,377,25.92654051912027,9.140991347995508,5.783881513770557,0.580023182199882,0.728725658131987,boot,0.35737704918032787
S56,S56@0.15,ARG,0.15,False,0.81,reserved,60+,2111,1428,479,0.27711984841307435,585,0.6043417366946778,0.39565826330532217,565,0.4114583333333333,0.41977254201034253,273,838,37.456543536201984,12.906682569062601,7.996710375634725,0.5658738670451247,0.6449867926353074,boot,0.4808147797252487
S56,S56@0.15,ARG,0.15,False,0.81,reserved,unknown,119,35,25,0.17647058823529413,21,0.6571428571428571,0.34285714285714286,12,0.4,0.2951322751322752,12,24,11.76086956521739,4.514492753623188,3.0652173913043477,0.47789001660647873,0.8086758978117342,CP,0.24369747899159663
S56_CONF,S56_CONF@0.15,ARG,0.15,True,0.81,reserved,ALL,4733,2340,779,0.6642721318402705,3144,0.8952991452991453,0.10470085470085466,245,0.6850899742930592,0.5360358865635556,1178,1423,75.90440195997276,25.463727239452382,15.375592295348305,0.8738523012755226,0.9141650056742573,boot,0.7851257130783859
S56_CONF,S56_CONF@0.15,ARG,0.15,True,0.81,reserved,<40,978,279,104,0.6932515337423313,678,0.8745519713261649,0.1254480286738351,35,0.3269230769230769,0.3963442574516832,149,184,74.03801097586715,24.85416520087244,15.017396045873495,0.803764715368489,0.9356014912341168,boot,0.7106339468302658
S56_CONF,S56_CONF@0.15,ARG,0.15,True,0.81,reserved,40-59,1525,598,174,0.7114754098360656,1085,0.8963210702341137,0.10367892976588633,62,0.6457142857142857,0.47788692954269585,315,377,80.35349949282713,26.916799497657344,16.229459498623388,0.8475780050778777,0.9364807907772142,boot,0.7881967213114754
S56_CONF,S56_CONF@0.15,ARG,0.15,True,0.81,reserved,60+,2111,1428,479,0.6200852676456655,1309,0.8991596638655462,0.10084033613445376,144,0.7328385899814471,0.5258543008689526,694,838,74.34813426198328,24.955451257280732,15.076914656340225,0.87361453001396,0.921300651291935,boot,0.8237801989578399
S56_CONF,S56_CONF@0.15,ARG,0.15,True,0.81,reserved,unknown,119,35,25,0.6050420168067226,72,0.8857142857142857,0.11428571428571432,4,0.6666666666666666,0.26397042835399,20,24,66.20161290322581,22.29480286738351,13.513440860215052,0.7586206896551724,0.9743589743589743,boot,0.6722689075630253
CASC,CASC@0.15,LAM,0.15,False,0.87,reserved,ALL,4733,2340,779,0.3002324107331502,1421,0.7111111111111111,0.28888888888888886,676,0.5097897026831038,0.45721030838479976,308,984,42.480555265357296,14.547521416631842,8.960914646886753,0.6783556205561228,0.7435905103668262,boot,0.5022184660891612
CASC,CASC@0.15,LAM,0.15,False,0.87,reserved,<40,978,279,104,0.46421267893660534,454,0.7670250896057348,0.2329749103942652,65,0.15584415584415584,0.4597889029597961,100,165,47.53170751273514,16.197224339176127,9.930327704464322,0.66015234375,0.8555904160553343,boot,0.47648261758691207
CASC,CASC@0.15,LAM,0.15,False,0.87,reserved,40-59,1525,598,174,0.043934426229508196,67,0.705685618729097,0.29431438127090304,176,0.6794171220400729,0.42610031108093244,0,176,36.41278240463811,12.565790886363287,7.796392582708323,0.6338013678780502,0.7748008956960231,boot,0.4301639344262295
CASC,CASC@0.15,LAM,0.15,False,0.87,reserved,60+,2111,1428,479,0.4230222643297016,893,0.7009803921568627,0.2990196078431373,427,0.4094052558782849,0.4458665173102644,208,635,44.01024890190337,15.047118328231065,9.254492213496606,0.6647033555690317,0.7392808352991606,boot,0.5727143533870204
CASC,CASC@0.15,LAM,0.15,False,0.87,reserved,unknown,119,35,25,0.058823529411764705,7,0.7714285714285715,0.22857142857142854,8,0.7333333333333333,0.20646855233321398,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395
CASC_CONF,CASC_CONF@0.15,LAM,0.15,True,0.87,reserved,ALL,4733,2340,779,0.5989858440735263,2835,0.905982905982906,0.09401709401709402,220,0.761646803900325,0.48581150597930856,764,984,77.30428766291621,25.920928967349738,15.644257228236443,0.8866439534342717,0.923254000168049,boot,0.8009718994295373
