band,lambda,expected_cost,escalation_sens,escalation_spec,referral_rate
60+,0.34,0.6480891719745223,0.8376259798432251,0.8499073502161828,0.3945063694267516
60+,0.35,0.642515923566879,0.8398656215005599,0.849289684990735,0.39570063694267515
60+,0.36,0.6415207006369427,0.8409854423292273,0.8480543545398395,0.3968949044585987
60+,0.37,0.6321656050955414,0.8443449048152296,0.8455836936380482,0.3996815286624204
60+,0.38,0.6255971337579618,0.8465845464725644,0.8431130327362569,0.4020700636942675
60+,0.39,0.6188296178343949,0.8488241881298992,0.8424953675108091,0.40326433121019106
60+,0.4,0.6130573248407644,0.851063829787234,0.840024706609018,0.4056528662420382
60+,0.41,0.6054936305732485,0.8544232922732363,0.8375540457072267,0.40843949044585987
60+,0.42,0.6023089171974523,0.8555431131019037,0.8357010500308832,0.41003184713375795
60+,0.43,0.5955414012738853,0.858902575587906,0.8344657195799876,0.4120222929936306
60+,0.44,0.5859872611464968,0.8622620380739082,0.8307597282273008,0.4156050955414013
60+,0.45,0.5818073248407644,0.864501679731243,0.8282890673255096,0.4179936305732484
60+,0.46,0.5706608280254777,0.8689809630459127,0.8245830759728228,0.42197452229299365
60+,0.47,0.5632961783439491,0.8712206047032475,0.8233477455219271,0.42356687898089174
60+,0.48,0.5543391719745223,0.8745800671892497,0.8190240889437924,0.42754777070063693
60+,0.49,0.5416003184713376,0.8801791713325868,0.8159357628165534,0.4315286624203822
60+,0.5,0.5364251592356688,0.8824188129899216,0.8116121062384187,0.43511146496815284
60+,0.51,0.5340366242038217,0.883538633818589,0.8091414453366276,0.43710191082802546
60+,0.52,0.5246815286624203,0.8868980963045913,0.8048177887584929,0.4410828025477707
60+,0.53,0.5079617834394905,0.8924972004479284,0.8035824583075973,0.44386942675159236
60+,0.54,0.5067675159235668,0.8947368421052632,0.7967881408276714,0.44904458598726116
60+,0.55,0.5095541401273885,0.8947368421052632,0.7924644842495367,0.4518312101910828
60+,0.56,0.5041799363057324,0.896976483762598,0.78875849289685,0.455015923566879
60+,0.57,0.504578025477707,0.8980963045912654,0.7831995058678196,0.4589968152866242
60+,0.58,0.4950238853503185,0.9014557670772676,0.7825818406423718,0.4605891719745223
60+,0.59,0.4846735668789809,0.9048152295632699,0.7801111797405806,0.46337579617834396
60+,0.6,0.48128980891719747,0.9070548712206047,0.7764051883878937,0.46656050955414013
60+,0.61,0.4810907643312102,0.9081746920492721,0.7702285361334157,0.47093949044585987
60+,0.62,0.48586783439490444,0.9081746920492721,0.7621988882025942,0.47611464968152867
60+,0.63,0.47870222929936307,0.910414333706607,0.7603458925262507,0.4781050955414013
60+,0.64,0.4737261146496815,0.9126539753639418,0.7554045707226683,0.4820859872611465
