band,referral,sens_constant,sens_oracle_bins,sens_mass
<40,0.22441243366186506,0.75,0.890625,0.796875
<40,0.22517058377558757,0.75,0.890625,0.796875
<40,0.2259287338893101,0.75,0.890625,0.796875
<40,0.2266868840030326,0.75,0.890625,0.8125
<40,0.22744503411675512,0.75,0.890625,0.8125
<40,0.22820318423047764,0.75,0.890625,0.8125
<40,0.22896133434420016,0.75,0.890625,0.8125
<40,0.22971948445792267,0.75,0.890625,0.8125
<40,0.2304776345716452,0.75,0.890625,0.8125
<40,0.2312357846853677,0.75,0.890625,0.8125
<40,0.23199393479909022,0.75,0.890625,0.8125
<40,0.23275208491281274,0.75,0.890625,0.8125
<40,0.23351023502653526,0.75,0.890625,0.8125
<40,0.23426838514025777,0.75,0.890625,0.8125
<40,0.2350265352539803,0.75,0.890625,0.8125
<40,0.2357846853677028,0.765625,0.890625,0.8125
<40,0.23654283548142532,0.765625,0.890625,0.8125
<40,0.23730098559514784,0.765625,0.890625,0.8125
<40,0.23805913570887036,0.765625,0.890625,0.8125
<40,0.23881728582259287,0.765625,0.890625,0.8125
<40,0.2395754359363154,0.765625,0.890625,0.8125
<40,0.2403335860500379,0.765625,0.890625,0.8125
<40,0.24109173616376042,0.78125,0.890625,0.8125
<40,0.24184988627748294,0.78125,0.890625,0.8125
<40,0.24260803639120546,0.796875,0.890625,0.8125
<40,0.24336618650492797,0.796875,0.890625,0.8125
<40,0.2441243366186505,0.796875,0.890625,0.8125
<40,0.244882486732373,0.796875,0.890625,0.8125
<40,0.24564063684609552,0.796875,0.890625,0.8125
<40,0.24639878695981804,0.796875,0.890625,0.8125
<40,0.24715693707354056,0.796875,0.890625,0.8125
<40,0.24791508718726307,0.796875,0.890625,0.8125
<40,0.2486732373009856,0.796875,0.890625,0.8125
<40,0.2494313874147081,0.796875,0.890625,0.8125
<40,0.25018953752843065,0.796875,0.890625,0.8125
<40,0.25094768764215314,0.796875,0.890625,0.8125
<40,0.2517058377558757,0.796875,0.890625,0.8125
<40,0.25246398786959817,0.796875,0.890625,0.8125
<40,0.2532221379833207,0.796875,0.90625,0.8125
<40,0.2539802880970432,0.796875,0.90625,0.8125
<40,0.25473843821076575,0.796875,0.90625,0.8125
<40,0.25549658832448824,0.796875,0.90625,0.828125
<40,0.2562547384382108,0.796875,0.90625,0.828125
<40,0.25701288855193327,0.796875,0.90625,0.828125
<40,0.2577710386656558,0.796875,0.90625,0.828125
<40,0.2585291887793783,0.796875,0.90625,0.828125
<40,0.25928733889310085,0.8125,0.90625,0.828125
<40,0.26004548900682334,0.8125,0.90625,0.828125
<40,0.2608036391205459,0.8125,0.90625,0.828125
<40,0.26156178923426837,0.8125,0.90625,0.828125
<40,0.2623199393479909,0.8125,0.921875,0.828125
<40,0.2630780894617134,0.8125,0.921875,0.828125
<40,0.26383623957543595,0.8125,0.921875,0.828125
<40,0.26459438968915844,0.8125,0.921875,0.828125
<40,0.265352539802881,0.8125,0.921875,0.828125
<40,0.26611068991660347,0.8125,0.921875,0.828125
<40,0.266868840030326,0.8125,0.921875,0.828125
<40,0.2676269901440485,0.8125,0.921875,0.828125
<40,0.26838514025777105,0.8125,0.921875,0.828125
<40,0.26914329037149354,0.8125,0.921875,0.828125
<40,0.2699014404852161,0.8125,0.921875,0.828125
<40,0.27065959059893857,0.8125,0.921875,0.828125
<40,0.2714177407126611,0.8125,0.921875,0.828125
<40,0.2721758908263836,0.8125,0.921875,0.828125
<40,0.27293404094010615,0.8125,0.921875,0.828125
<40,0.27369219105382864,0.828125,0.921875,0.828125
<40,0.2744503411675512,0.828125,0.921875,0.828125
<40,0.27520849128127367,0.828125,0.9375,0.828125
<40,0.2759666413949962,0.828125,0.9375,0.828125
<40,0.2767247915087187,0.828125,0.9375,0.828125
<40,0.27748294162244125,0.828125,0.9375,0.828125
<40,0.27824109173616374,0.828125,0.9375,0.828125
<40,0.2789992418498863,0.828125,0.9375,0.828125
<40,0.27975739196360877,0.828125,0.9375,0.84375
<40,0.2805155420773313,0.828125,0.9375,0.84375
<40,0.2812736921910538,0.828125,0.9375,0.84375
<40,0.28203184230477635,0.828125,0.9375,0.84375
<40,0.28278999241849884,0.828125,0.9375,0.84375
<40,0.2835481425322214,0.828125,0.9375,0.84375
<40,0.28430629264594387,0.828125,0.9375,0.84375
<40,0.2850644427596664,0.828125,0.9375,0.84375
<40,0.28582259287338896,0.828125,0.9375,0.84375
<40,0.28658074298711145,0.828125,0.9375,0.84375
<40,0.287338893100834,0.828125,0.9375,0.84375
<40,0.2880970432145565,0.828125,0.9375,0.859375
<40,0.288855193328279,0.828125,0.9375,0.859375
<40,0.2896133434420015,0.828125,0.9375,0.859375
<40,0.29037149355572406,0.828125,0.9375,0.859375
<40,0.29112964366944655,0.828125,0.9375,0.859375
<40,0.2918877937831691,0.828125,0.9375,0.859375
<40,0.2926459438968916,0.828125,0.9375,0.859375
<40,0.2934040940106141,0.828125,0.9375,0.859375
<40,0.2941622441243366,0.828125,0.9375,0.859375
<40,0.29492039423805916,0.828125,0.9375,0.859375
